"Date","Ethereum - Difficulty","Ethereum Classic - Difficulty"
"2016/11/19",71949014865557,6465497654743
"2016/11/20",78335266346297,7376471679067
"2016/11/21",84449596012008,7337676932795
"2016/11/22",81077735124448,6682155307856
"2016/11/23",75589241102578,6310594656775
"2016/11/24",68111219919407,5797135253692
"2016/11/25",65986567593840,5609104900549
"2016/11/26",69017176974795,5893101959064
"2016/11/27",65524158428078,5707918263590
"2016/11/28",67649540618317,5881829296805
"2016/11/29",69010302114794,6071353139065
"2016/11/30",69284299604447,6157841044244
"2016/12/01",70310041002384,6246991805353
"2016/12/02",71265485462809,6512623684758
"2016/12/03",74252936273639,7206759290621
"2016/12/04",75672242806020,7381161384534
"2016/12/05",73600849613783,7485013888914
"2016/12/06",71207341778909,8441918511243
"2016/12/07",73643047177206,7492826351364
"2016/12/08",76369350674977,7211652932024
"2016/12/09",79280439330297,7402679983155
"2016/12/10",80985310483737,7965344679247
"2016/12/11",82937850219048,9162670452562
"2016/12/12",80878029546952,9171952819538
"2016/12/13",82224328165903,9209217916236
"2016/12/14",81678014786170,9623684080657
"2016/12/15",82533566446746,10849710933545
"2016/12/16",84138040153489,11657941776189
"2016/12/17",84534055963890,11691117478534
"2016/12/18",87759902841941,11891317028447
"2016/12/19",88901803448092,13250038339288
"2016/12/20",90508375478344,14303300917677
"2016/12/21",90111207881563,13394267080924
"2016/12/22",88551562938904,13083733671840
"2016/12/23",82165845261670,11744700898394
"2016/12/24",76928058048259,11344359030377
"2016/12/25",78749733949108,12038335232371
"2016/12/26",82528379445042,11502523752740
"2016/12/27",80947196169414,11321736870472
"2016/12/28",79482363279121,11191586384169
"2016/12/29",78498064490360,11983784388284
"2016/12/30",78996386045432,14316909470607
"2016/12/31",81073024515394,14172871847993
"2017/01/01",79895312719887,13650666039809
"2017/01/02",80590621394785,13479153169839
"2017/01/03",80544805734306,13346129628350
"2017/01/04",87318226210638,12928897415103
"2017/01/05",90095806751431,14013540505385
"2017/01/06",91836668487686,13796584341283
"2017/01/07",93445343692936,13480949786232
"2017/01/08",94533533369415,13569190795740
"2017/01/09",97381935320019,13386520254030
"2017/01/10",98721760527686,13580822128466
"2017/01/11",99095850029332,12905930472208
"2017/01/12",99976126609117,12516377375391
"2017/01/13",1.0135572174708E+14,12837917910050
"2017/01/14",1.0251731609855E+14,12865608585003
"2017/01/15",1.0364129259949E+14,12720213382994
"2017/01/16",1.0413386475642E+14,12855419694227
"2017/01/17",1.0381676706914E+14,12696911801321
"2017/01/18",1.0205258998206E+14,12276275835101
"2017/01/19",1.0718357959237E+14,12513075173649
"2017/01/20",1.0685688629655E+14,12671187263690
"2017/01/21",1.0835796084258E+14,14050929256022
"2017/01/22",1.0881066454634E+14,13974760536488
"2017/01/23",1.1110918238257E+14,14177494472946
"2017/01/24",1.0988457476756E+14,14317409041872
"2017/01/25",1.1002119402993E+14,14361758689900
"2017/01/26",1.1165382950181E+14,14129884445274
"2017/01/27",1.1270672597133E+14,14311781974558
"2017/01/28",1.1159725169047E+14,14028986488513
"2017/01/29",1.106772292114E+14,14088684680179
"2017/01/30",1.109653613824E+14,13912042753781
"2017/01/31",1.1273665584762E+14,14612047623281
"2017/02/01",1.1155652919217E+14,14439400958038
"2017/02/02",1.1388956967048E+14,14510224238487
"2017/02/03",1.1232107156907E+14,14090209635981
"2017/02/04",1.1266498285916E+14,13926748351080
"2017/02/05",1.1816252160951E+14,14334588452624
"2017/02/06",1.1923355391749E+14,15182222704845
"2017/02/07",1.1940817405368E+14,15358105277998
"2017/02/08",1.2024044207809E+14,15167023937092
"2017/02/09",1.211126295995E+14,14733432549382
"2017/02/10",1.2442088194501E+14,14021656691126
"2017/02/11",1.2472919935136E+14,13865004240949
"2017/02/12",1.2645968806787E+14,13599344392928
"2017/02/13",1.2752269874344E+14,13479658395329
"2017/02/14",1.2997624297687E+14,13348238293812
"2017/02/15",1.2959121207436E+14,13015506265520
"2017/02/16",1.2999383899871E+14,13161768114891
"2017/02/17",1.3327788090209E+14,13043393218676
"2017/02/18",1.3501438178409E+14,12929433470879
"2017/02/19",1.3721854347786E+14,13228782554300
"2017/02/20",1.3708728283847E+14,13332132087570
"2017/02/21",1.4024376578706E+14,13645917372856
"2017/02/22",1.4052798590321E+14,13660164127658
"2017/02/23",1.3977121694973E+14,13598219132213
"2017/02/24",1.4024420459593E+14,13320181853956
"2017/02/25",1.4292179559439E+14,13279792907694
"2017/02/26",1.4740311778642E+14,13318641366295
"2017/02/27",1.5076313553536E+14,13086280388056
"2017/02/28",1.5453129815878E+14,12229938057265
"2017/03/01",1.526096458407E+14,12322623292556
"2017/03/02",1.5275043775672E+14,12024205811345
"2017/03/03",1.6021826250382E+14,11629938261031
"2017/03/04",1.5869620266152E+14,11754635965109
"2017/03/05",1.6395707061567E+14,12343784829905
"2017/03/06",1.6636475687147E+14,12176122435116
"2017/03/07",1.6593278617002E+14,12272185962229
"2017/03/08",1.7054835345905E+14,13011433904206
"2017/03/09",1.7389350162098E+14,13139645023130
"2017/03/10",1.7294602090521E+14,12684354894184
"2017/03/11",1.7515096485488E+14,12065839344074
"2017/03/12",1.7774490136197E+14,12238352280582
"2017/03/13",1.8023456388608E+14,11912876823818
"2017/03/14",1.7984486867651E+14,11364946170416
"2017/03/15",1.841318379096E+14,11297680840895
"2017/03/16",1.8585448249922E+14,10745170683701
"2017/03/17",1.9281018159665E+14,9196485199507
"2017/03/18",1.9760056382007E+14,9316774362068
"2017/03/19",1.9086706270212E+14,9573835129685
"2017/03/20",1.9940845594815E+14,9530959413876
"2017/03/21",1.996309544215E+14,9937441465379
"2017/03/22",2.0163247816642E+14,12751357931488
"2017/03/23",2.1087937931599E+14,11619194970503
"2017/03/24",2.1099964675984E+14,11233006347365
"2017/03/25",2.1120475217651E+14,10867647693497
"2017/03/26",2.2117491228208E+14,10574227140307
"2017/03/27",2.316571967916E+14,10624734941721
"2017/03/28",2.2954864983616E+14,10458285473273
"2017/03/29",2.3297994481262E+14,10637507031271
"2017/03/30",2.3698247545829E+14,10958829073599
"2017/03/31",240138785731439,13336592841181
"2017/04/01",2.3904835991216E+14,13989351803323
"2017/04/02",2.4203739967902E+14,13573630620965
"2017/04/03",2.25777719719E+14,13896001202367
"2017/04/04",2.4058816576257E+14,14644476665821
"2017/04/05",2.462794647322E+14,14458514747570
"2017/04/06",2.4861932750594E+14,15557618465840
"2017/04/07",2.4957461756998E+14,15324278807957
"2017/04/08",2.5248480772522E+14,15448732704476
"2017/04/09",2.5317509994121E+14,15450191480188
"2017/04/10",255973416950689,15524364900364
"2017/04/11",2.6103695577306E+14,15411325560436
"2017/04/12",2.6094204485142E+14,15597545887664
"2017/04/13",2.5480615490149E+14,15283295207423
"2017/04/14",2.7157549221601E+14,14736361325842
"2017/04/15",2.7239747154856E+14,15401272368892
"2017/04/16",2.7258132941286E+14,15579668026192
"2017/04/17",275532146092829,15417931063019
"2017/04/18",2.8274002997455E+14,15699377690578
"2017/04/19",2.887509520236E+14,17041158554408
"2017/04/20",2.8397210482426E+14,19044779641641
"2017/04/21",2.9082299818745E+14,20461338876538
"2017/04/22",2.9711134784625E+14,20131763275576
"2017/04/23",2.9845123979907E+14,21026555789705
"2017/04/24",2.9521152266163E+14,23621762677136
"2017/04/25",2.9830805671768E+14,24583534091941
"2017/04/26",3.0893076666809E+14,24845936876215
"2017/04/27",3.1369564558852E+14,27405307157420
"2017/04/28",328632682258865,24935524200798
"2017/04/29",342092419789233,24223369601408
"2017/04/30",3.3258375233735E+14,26636262524668
"2017/05/01",3.3617305913043E+14,28591429628405
"2017/05/02",3.3519997219866E+14,29027418425769
"2017/05/03",3.3947934881469E+14,28583818909830
"2017/05/04",3.3642064831947E+14,27756003514036
"2017/05/05",3.4978839385431E+14,27284256023872
"2017/05/06",349259962790711,27575592574551
"2017/05/07",3.5359323617774E+14,27535363917129
"2017/05/08",3.5382837275123E+14,28058297384740
"2017/05/09",3.6556965817993E+14,28523515486626
"2017/05/10",363678633592458,27569207818774
"2017/05/11",3.6926172630412E+14,27755298159471
"2017/05/12",3.7925062229343E+14,27869517670193
"2017/05/13",3.7849108479744E+14,27249352791148
"2017/05/14",4.0477857299201E+14,28205795464601
"2017/05/15",4.1404774574902E+14,29128163608909
"2017/05/16",4.1707961583291E+14,28851318599044
"2017/05/17",4.0810395523552E+14,28553068898599
"2017/05/18",4.1444829704694E+14,28869748127054
"2017/05/19",4.316500259532E+14,28656870529371
"2017/05/20",4.3971432137646E+14,27587734541711
"2017/05/21",4.5132709950096E+14,27288305289085
